id (DMA),year,month,week,after,close, sales ,,,,,,,,,,
95,2011,11,46,1,1,"6,359",,,,,,,,,,
95,2011,11,47,1,1,"3,664",,,,,,,,,,
95,2011,11,48,1,1,"5,574",,,,,,,,,,
95,2011,11,49,1,1,"7,285",,,,,,,,,,
95,2011,12,50,1,1,"2,909",,,,,,,,,,
95,2011,12,51,1,1,"3,872",,,,,,,,,,
95,2011,12,52,1,1,"2,247",,,,,,,,,,
95,2011,12,53,1,1,"2,826",,,,,,,,,,
95,2012,1,1,1,1,"2,018",,,,,,,,,,
95,2012,1,2,1,1,"2,541",,,,,,,,,,
95,2012,1,3,1,1,"2,416",,,,,,,,,,
95,2012,1,4,1,1,"2,031",,,,,,,,,,
95,2012,1,5,1,1,"2,164",,,,,,,,,,
95,2012,1,6,1,1,"3,410",,,,,,,,,,
95,2012,2,7,1,1,"3,702",,,,,,,,,,
95,2012,2,8,1,1,"2,004",,,,,,,,,,
95,2012,2,9,1,1,"4,087",,,,,,,,,,
95,2012,2,10,1,1,"2,433",,,,,,,,,,
95,2012,3,11,1,1,"1,323",,,,,,,,,,
95,2012,3,12,1,1,"1,268",,,,,,,,,,
95,2012,3,13,1,1,"1,527",,,,,,,,,,
95,2012,3,14,1,1,"1,453",,,,,,,,,,
96,2011,4,17,0,1,"8,207",,,,,,,,,,
96,2011,4,18,0,1,"5,917",,,,,,,,,,
96,2011,5,19,0,1,"6,305",,,,,,,,,,
96,2011,5,20,0,1,"8,387",,,,,,,,,,
96,2011,5,21,0,1,"5,740",,,,,,,,,,
96,2011,5,22,0,1,"5,547",,,,,,,,,,
96,2011,5,23,0,1,"10,080",,,,,,,,,,
96,2011,6,24,0,1,"6,120",,,,,,,,,,
96,2011,6,25,0,1,"9,723",,,,,,,,,,
96,2011,6,26,0,1,"10,487",,,,,,,,,,
96,2011,6,27,0,1,"9,659",,,,,,,,,,
96,2011,7,28,0,1,"15,736",,,,,,,,,,
96,2011,7,29,0,1,"6,478",,,,,,,,,,
96,2011,7,30,0,1,"8,190",,,,,,,,,,
96,2011,7,31,0,1,"6,605",,,,,,,,,,
96,2011,8,32,0,1,"4,377",,,,,,,,,,
96,2011,8,33,0,1,"2,220",,,,,,,,,,
96,2011,8,34,0,1,"8,833",,,,,,,,,,
96,2011,8,35,0,1,"4,649",,,,,,,,,,
96,2011,8,36,0,1,"8,061",,,,,,,,,,
96,2011,9,37,0,1,"6,517",,,,,,,,,,
96,2011,9,38,0,1,"7,311",,,,,,,,,,
96,2011,9,39,0,1,"6,071",,,,,,,,,,
96,2011,9,40,0,1,"4,670",,,,,,,,,,
96,2011,10,41,0,1,"6,236",,,,,,,,,,
96,2011,10,42,0,1,"7,833",,,,,,,,,,
96,2011,10,43,1,1,"8,126",,,,,,,,,,
96,2011,10,44,1,1,"5,228",,,,,,,,,,
96,2011,10,45,1,1,"3,376",,,,,,,,,,
96,2011,11,46,1,1,"6,629",,,,,,,,,,
